Reaction_id_in_ReactionPool	Comments	Equations	PPS_Shan
R08648	pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating)	2.2.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08774	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"	2.1.1.201	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08924	butanoyl-CoA:carbon-dioxide ligase (ADP-forming)	6.4.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09083	"5,6-dimethylbenzimidazole synthase"	1.14.99.40	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09099	"5,10-methylenetetrahydromethanopterin:glycine hydroxymethyltransferase"	2.1.2.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09248	"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 5 isopentenyl units)"	2.5.1.90	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00742	acetyl-CoA:carbon-dioxide ligase (ADP-forming)	6.4.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00740	3-oxopropanoate:NADP + oxidoreductase (CoA-malonylating)	1.2.1.18; 1.2.1.75; 1.2.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09289	3-hydroxypropionate:NADP + oxidoreductase	1.1.1.298	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03157	3-hydroxypropionyl-CoA synthetase (ADP-forming)	3.1.2.4; 6.2.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03045	3-Hydroxypropionyl-CoA hydro-lyase	4.2.1.17; 4.2.1.116	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00919	propanoyl-CoA:NADP + 2-oxidoreductase	1.3.1.84; 1.3.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01859	propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	6.4.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02765	Methylmalonyl-CoA epimerase	5.1.99.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00833	(R)-Methylmalonyl-CoA CoA-carbonylmutase	5.4.99.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09280	succinate-semialdehyde:NADP + oxidoreductase (CoA-acylating)	1.2.1.76	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09281	4-hydroxybutanoate:NADP + oxidoreductase	1.1.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10758	4-hydroxybutanoate:CoA ligase (ADP-forming)	6.2.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10782	4-hydroxybutanoyl-CoA hydro-lyase	4.2.1.120	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03026	(S)-3-Hydroxybutanoyl-CoA hydro-lyase	4.2.1.17; 4.2.1.55	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01975	(S)-3-Hydroxybutanoyl-CoA:NAD + oxidoreductase	1.1.1.35	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00238	Acetyl-CoA:acetyl-CoA C-acetyltransferase	2.3.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00148	"ammonia,ubiquinol:oxygen oxidoreductase"		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
CuP460			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
QH2_Synt			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
NIR			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
N2O_spon			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
Cytbc1			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
Cytaa3			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10042	ATP synthase (four protons for one ATP)		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02163	NADH:ubiquinone oxidoreductase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
H_disp			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01196	pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)	1.2.7.1; 1.2.7.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00310	protoheme ferro-lyase (protoporphyrin-forming)	4.99.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01529	D-Ribulose-5-phosphate 3-epimerase	5.1.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04173	3-Phosphoserine:2-oxoglutarate aminotransferase	2.6.1.52	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01652		1.1.1.85	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04035	Phosphoribosyl-ATP pyrophosphohydrolase	3.6.1.31	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03013	L-histidinol-phosphate phosphohydrolase	3.1.3.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03509	N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase	5.3.1.24	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01715	Chorismate pyruvatemutase	5.4.99.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01728	Prephenate:NAD + oxidoreductase(decarboxylating)	1.3.1.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00586	acetyl-CoA:L-serine O-acetyltransferase	2.3.1.30	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10409			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01127	"IMP 1,2-hydrolase (decyclizing)"	2.1.2.3; 3.5.4.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00751	L-threonine acetaldehyde-lyase (glycine-forming)	4.1.2.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01286	L-cystathionine L-homocysteine-lyase (deaminating; pyruvate-forming)	4.4.1.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00194	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	3.2.2.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01291	"S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase [(4S)-4,5-dihydroxypentan-2,3-dione-forming]"	4.4.1.21	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09775	LysW:L-2-aminoadipate ligase (ADP-forming)	6.3.2.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09776	ATP:LysW-gamma-L-alpha-aminoadipate 6-phosphotransferase	2.7.2.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09777	LysW-gamma-L-alpha-aminoadipate 6-semialdehyde:NADP + 6-oxidoreductase (phosphorylating)	1.2.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09778	LysW-gamma-L-lysine:2-oxoglutarate 6-aminotransferase	2.6.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09779	LysW-gamma-L-lysine carboxypeptidase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06844		2.6.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02508		2.5.1.48	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01776	Acetyl-CoA:L-homoserine O-acetyltransferase	2.3.1.31	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01287	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase	2.5.1.49	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00271	"2-Hydroxybutane-1,2,4-tricarboxylate 2-oxoglutarate-lyase"	2.3.3.14	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03444	"2-Hydroxybutane-1,2,4-tricarboxylate hydro-lyase"	4.2.1.114	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04371	Homoisocitrate hydro-lyase	4.2.1.36; 4.2.1.114	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01934	"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD + oxidoreductase"	1.1.1.87; 1.1.1.286	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01939	L-2-Aminoadipate:2-oxoglutarate aminotransferase	2.6.1.39	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01716	chorismate:L-glutamine aminotransferase	2.6.1.85	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05553	4-amino-4-deoxychorismate pyruvate-lyase	4.1.3.38	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10348		3.5.4.39	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10344		3.1.4.56	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04621	Dihydroneopterin monophosphate dephosphorylase	3.6.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03504	"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase"	4.1.2.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03503	6-hydroxymethyl-dihydropterin pyrophosphokinase	2.7.6.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02237	"7,8-dihydropteroate:L-glutamate ligase (ADP-forming)"	6.3.2.12; 6.3.2.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00939	"5,6,7,8-Tetrahydrofolate:NADP + oxidoreductase"	1.5.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01333	glycolaldehyde:NAD + oxidoreductase	1.2.1.21	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00013	Glyoxylate carboxy-lyase (dimerizing)	4.1.1.47	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01745	(R)-Glycerate:NAD + oxidoreductase	1.1.1.60	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01514	ATP:(R)-glycerate 3-phosphotransferase	2.7.1.31	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01224	5-methyltetrahydrofolate:NADP + oxidoreductase	1.5.1.20	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10561	ATP:phosphomevalonate carboxy-lyase (adding ATP; isopentenyl-phosphate-forming)	4.1.1.99	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10093	ATP:isopentenyl phosphate phosphotransferase	2.7.4.26	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04158	geranylgeranyl diphosphate:sn-glyceryl phosphate geranylgeranyltransferase	2.5.1.41	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04520	geranylgeranyl diphosphate:sn-3-O-(geranylgeranyl)glycerol 1-phosphate geranylgeranyltransferase	2.5.1.42	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10325	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	1.3.1.101	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10255	NAD + glycohydrolase	2.7.8.38	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00178	NAD + phosphohydrolase	4.1.1.50	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01920	ADP aminohydrolase	2.5.1.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01919	UDP diphosphohydrolase	2.5.1.44; 2.5.1.45	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08700	AMP phosphoribohydrolase	2.8.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08701	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08702	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	1.5.3.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00601	ATP:acetate phosphotransferase	2.1.1.61	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00978	"5,6-Dihydrouracil:NADP + oxidoreductase"	1.3.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00905	N-Carbamoyl-beta-alanine amidohydrolase	3.5.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01993	(S)-dihydroorotate amidohydrolase	3.5.2.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01869	(S)-Dihydroorotate:(acceptor) oxidoreductase	1.3.1.14	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00416	UDP-N-acetylglucosamine diphosphorylase	2.7.7.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08193	"N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase"	5.4.2.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02060	"D-Glucosamine 1-phosphate 1,6-phosphomutase"	5.4.2.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05332	glucosamine-1-phosphate N-acetyltransferase	2.3.1.157	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00286	UDP-glucose:NAD + 6-oxidoreductase	1.1.1.22	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01516	"2,3-bisphospho-D-glycerate 2-phosphohydrolase"	3.1.3.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02164	Succinate:ubiquinone oxidoreductase	1.3.5.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06974	glycinamide ribonucleotide transformylase	2.1.2.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00806	UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase	2.4.1.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03920	ATP:D-fructose 6-phosphotransferase	2.7.1.1; 2.7.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00805	sucrose-6F-phosphate phosphohydrolase	3.1.3.24	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00766	UDP-glucose:D-fructose-6-phosphate 2-alpha-D-glucosyltransferase	2.4.1.14	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07237	S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase	2.1.1.107	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07238	S-adenosyl-L-methionine:precorrin-1 C-methyltransferase	2.1.1.107	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00703	(S)-Lactate:NAD + oxidoreductase	1.1.1.27	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00228	acetaldehyde dehydrogenase (acetylating)	1.2.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10088	"D-ribose 5-phosphate,D-glyceraldehyde 3-phosphate pyridoxal 5'-phosphate-lyase"	4.3.3.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10326	"2,3-bis-(O-phytany)l-sn-glycerol 1-phosphate:NADP + oxidoreductase"	1.3.1.101	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09518	"methane,quinol:oxygen oxidoreductase"	1.14.18.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01142	"Methane,NADH:oxygen oxidoreductase (hydroxylating)"	1.14.13.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01385	UDPglucuronate 4-epimerase	5.1.3.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02634	UTP:1-Phospho-alpha-D-galacturonate uridylyltransferase	2.7.7.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
Met1			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04204	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	4.2.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03173	2-Methylbutanoyl-CoA:(acceptor) oxidoreductase	1.3.99.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03093	3-Indoleacetonitrile aminohydrolase	3.5.5.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00216	(S)-Malate:NADP + oxidoreductase(oxaloacetate-decarboxylating)	1.1.1.40	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00214	(S)-malate:NAD + oxidoreductase (decarboxylating)	1.1.1.38; 1.1.1.39	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09374	2-amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one amidohydrolase	3.5.1.102	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09375	"2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one:NAD + 1'-oxidoreductase"	1.1.1.302	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09377	"2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one 2-aminohydrolase"		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07280	pyrimidine phosphatase	3.1.3.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04457	"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)"	2.5.1.78	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00066	"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)"	2.5.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08574	CTP:riboflavin 5'-phosphotransferase	2.7.1.161	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00161	ATP:FMN adenylyltransferase	2.7.7.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10499			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09397	GTP:2-phospho-L-lactate guanylyltransferase	2.7.7.68	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
Met2			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09398	"(2S)-lactyl-2-diphospho-5'-guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin lactylphosphotransferase"	2.7.8.28	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00710	"aldehyde dehydrogenase (acetaldehyde, NAD)"	1.2.1.3; 1.2.1.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00130	ATP:dephospho-CoA 3'-phosphotransferase	2.7.1.24	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08716	cobalt-precorrin 3 dehydrogenase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05812	precorrin-6A reductase	1.3.1.54	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05721	chloride:oxygen oxidoreductase	1.13.11.49	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00258	L-Alanine:2-oxoglutarate aminotransferase	2.6.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00660	Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase	2.5.1.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08368	Purine nucleoside:orthophosphate ribosyltransferase	2.4.2.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02869	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase	2.5.1.16; 2.5.1.22	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01561	purine-nucleoside phosphorylase (Adenosine)	2.4.2.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
Met3		2.7.4.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03758	L-2-amino-3-oxobutanoate decarboxylation (spontaneous)	1.1.1.381	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03759	(R)-1-Aminopropan-2-ol:NAD + oxidoreductase	1.1.1.75	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06531	ATP:L-threonine O-phosphotransferase	2.7.1.177	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00332	 ATP:GMP phosphotransferase	2.7.4.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn13300	glycogen synthase (UDPGlc)		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn11007	"5,10-Methylenetetrahydrofolate:dUMP C-methyltransferase"	2.1.1.45	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn08013	5'-deoxyadenosine nuclosidase	2.4.2.28	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10525	gamma-F420-0:gamma-L-glutamate ligase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10526	gamma-F420-1:gamma-L-glutamate ligase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10527	gamma-F420-2:gamma-L-glutamate ligase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00522	Oxalate carboxy-lyase	4.1.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04594	adenosylcobalamin/alpha-ribazole phosphatase;	3.1.3.73	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04148	Nicotinate-nucleotide:dimethylbenzimidazole phospho-D-ribosyltransferase	2.4.2.21	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01724	nicotinic acid mononucleotide pyrophosphorylase	2.4.2.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06530	L-threonine-O-3-phosphate carboxy-lyase	4.1.1.81	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05222	GTP:adenosylcobinamide-phosphate guanylyltransferase	2.7.7.62	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
add_lipid1			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
add_lipid2			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10442	archaetidylinositol hydrogenase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
add_lipid3			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10487	digeranyl-sn-glycerol-1-phospho-3'-sn-glycerol phosphatase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10441	archaetidylglycerol hydrogenase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08966	"CTP:2,3-bis-O-(geranylgeranyl)-sn-glycerol-1-phosphate cytidylyltransferase"	2.7.7.67	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05219	precorrin-6A synthase (deacetylating);	2.1.1.152	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05150	precorrin-6Y:NADP + oxidoreductase	1.3.1.54	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05227		6.6.1.2R02472	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02472	2-dehydropantoate 2-reductase	1.1.1.169	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02471	pantoate 4-dehydrogenase	1.1.1.106	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R09379	4-phosphopantoate---beta-alanine ligase	6.3.2.36	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00375	DNA-directed DNA polymerase	2.7.7.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00376	DNA-directed DNA polymerase	2.7.7.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00377	DNA-directed DNA polymerase	2.7.7.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00378	DNA-directed DNA polymerase	2.7.7.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00435	RNA polymerase	2.7.7.6; 2.7.7.19; 2.7.7.48	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01352			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01082		4.2.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01826	Phosphoenolpyruvate:D-erythrose-4-phosphate	2.5.1.54; 4.1.2.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03083	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase	4.2.3.4; 4.6.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10929		6.3.2.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10930		2.7.2.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10931		1.2.1.38	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10932		2.6.1.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R10933		3.5.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00345			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
ADD_BIOMASS			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00132			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_NH3			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_O2			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_H2O			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_CO2			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_HCO3			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_H3PO4			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_SO4			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_Fe2			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_Co2			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
nadh_nadph			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_NO			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_NO2_			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_n2o			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn08966			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn09008			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10823			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_CO			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_H			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
